village_id,village_name,farm_id,area_ha,crop_type,crop_confidence,crop_margin,long_duration_flag,data_quality,n_valid_dates,has_canopy,canopy_peak_db,canopy_peak_doy,canopy_end_db,cleared_fraction,season_integral_db,extrapolated_fraction,accumulation_response,yield_ref_t_ha,yield_forecast_t_ha,production_t
22,Sokhda,1,0.2843,Bajra,low,0.4686,False,measured,6,False,0.0,,0.0,,-2.1557,0.0,0.9687,1.362,1.3194,0.3751
22,Sokhda,2,0.2215,Bajra,low,0.4728,False,measured,6,False,0.0,,0.0,,-1.8187,0.0,0.9829,1.362,1.3386,0.2965
22,Sokhda,3,0.5009,Maize,low,0.2625,False,measured,6,False,0.0,,0.0,,-1.3489,0.0,0.7,2.035,1.4245,0.7135
22,Sokhda,4,0.0336,Rice,high,0.1823,False,measured,6,True,1.3675,226.0,0.0,1.0,-0.0554,0.0,0.9607,1.675,1.6092,0.0541
22,Sokhda,5,0.5675,Groundnut,low,0.1042,False,measured,6,True,0.5652,286.0,0.4974,0.1198,-0.3986,0.0,0.7948,2.734,2.1731,1.2332
22,Sokhda,6,0.8379,Maize,low,0.4556,False,measured,6,False,0.0,,0.0,,-0.7459,0.0,0.8533,2.035,1.7365,1.455
22,Sokhda,7,0.1951,Bajra,low,0.378,False,measured,6,False,0.0,,0.0,,-1.543,0.0,0.9944,1.362,1.3544,0.2642
22,Sokhda,8,0.8917,Groundnut,low,0.2471,False,measured,6,True,0.5894,316.0,0.5894,0.0,-1.0317,0.0,0.7,2.734,1.9138,1.7065
22,Sokhda,9,0.4171,Groundnut,low,0.2098,False,measured,6,True,1.704,286.0,1.3741,0.1936,1.5808,0.0,1.2878,2.734,3.521,1.4686
22,Sokhda,10,0.386,Groundnut,low,0.2214,False,measured,6,False,0.4201,,0.4201,,-0.2081,0.0,0.8363,2.734,2.2863,0.8825
22,Sokhda,11,0.4431,Maize,low,0.5145,False,measured,6,False,0.0153,,0.0153,,-0.6304,0.0,0.8834,2.035,1.7977,0.7966
22,Sokhda,12,0.5517,Bajra,low,0.1182,False,measured,6,False,0.0,,0.0,,-1.8757,0.0,0.9805,1.362,1.3354,0.7367
